;pdf_name;page_nr;page_section;climate_related;domain;ron;transition;text
18;Commerzbank_2022_EN-2;2;1;;;;;"in conjunction with  
Art. 289f of the German Commercial Code (HGB) 
36 Details pursuant to Art. 315 of the German Commercial Code (HGB) 42 Non-financial report   
   
information on our risk management can be found"
19;Commerzbank_2022_EN-2;2;2;;;;;"in the Group 
risk report. 
In the interests of providin g focused information to the 
recipients of our financial reporting, we have refrained from using 
a reporting framework. Nevertheless, this non-financial report is 
guided by the standards of the Global"
20;Commerzbank_2022_EN-2;2;3;;;;;"Reporting Initiative (GRI) where relevant for the defined issues. Detailed information on the 
sustainability work of Commerzbank Aktiengesellschaft is also 
presented in the GRI sustainability reporting, which is available online. We have opted for integrated reporting and therefore 
follow the"
21;Commerzbank_2022_EN-2;2;4;;;;;"requirements of the Task Force on Climate-related 
Financial Disclosures (TCFD) in this non-financial report (see table “TCFD recommendations in the non- financial report” on page 72). 
We joined this organisation in  2020. We have also included 
information required by"
22;Commerzbank_2022_EN-2;2;5;;;;;"the EU Taxonomy Regulation. Apart from 
the description of the business model, references to further 
information in the management report and elsewhere do not form 
part of this non-financial report . The United Nations Sustainable 
Development Goals (SDGs) also form"
23;Commerzbank_2022_EN-2;2;6;;;;;"a basis for our sustainability 
efforts. In this report, we show how our activities support the 
achievement of global sustainability goals. By financing renewable energy, for example, we are contributing towards SDG 7, which 
seeks to ensure access to affordable"
24;Commerzbank_2022_EN-2;2;7;;;;;"and clean energy. A detailed 
overview of our contribution to target achievement can also be found in the sustainability sect ion of Commerzbank’s website. 
This non-financial report was subject to a limited assurance 
engagement performed by the auditing firm KPMG"
25;Commerzbank_2022_EN-2;2;8;;;;;"in accordance with ISAE 3000 (Revised). The report on the engagement can be 
found in the Group’s Annual Report under “Further information”. 1. Taking responsibility 
 
Our net zero commitment – i.e. the promise to reduce our carbon 
footprint to"
26;Commerzbank_2022_EN-2;2;9;;;;;"net zero – is a key example of how we as a financial 
intermediary drive sustainability. We follow binding rules for dealing with environmental and social risks, which we 
continuously review and adapt as necessary. We have a clear 
stance"
27;Commerzbank_2022_EN-2;2;10;;;;;"on controversial topics such as fossil fuels, arms and mining. In the ESG framework th at was published in 2022, we 
disclose all the key building blocks  of our sustainability strategy 
and transparently explain how we manage sustainability in"
28;Commerzbank_2022_EN-2;2;11;;;;;"our core business. A transparent and fair approach towards our 
customers is one of the keys to doing business sustainably. 
Treating our employees responsibly – even and especially at times of great upheaval and economic challenges – is another. "
29;Commerzbank_2022_EN-2;2;12;;;;;"
In the following, we ex plain in detail how we specifically fulfil 
our responsibility towards th e environment and society and 
towards our customers and workforce, what successes we 
achieved in the year under review  (see chart “Milestones in"
30;Commerzbank_2022_EN-2;2;13;;;;;"2022”) 
and what we are still working on. We outline what matters to us and what we stand for. In order to make our progress in the 
individual areas visible, we regu larly collect strategic KPIs (key 
performance indicators) and"
31;Commerzbank_2022_EN-2;2;14;;;;;"other key figures. 
Our sustainability rating and ranking results and our inclusion 
in the relevant indices also demonstrate that we are on the right 
track. In 2022, major rating agen cies for sustainability gave 
Commerzbank Aktiengesellschaft ra tings that were"
32;Commerzbank_2022_EN-2;2;15;;;;;"mainly above 
the sector average. For example, Sustainalytics gives us a 
“medium risk” rating. In addition, we continue to be listed in sustainability indices such as FTSE4Good. An overview of the 
ratings and our awards can be found in our"
33;Commerzbank_2022_EN-2;2;16;;;;;"Sustainability 
Factsheet, which is published online and constantly updated. 
Our subsidiaries also perform well in this respect: MSCI ESG 
rated mBank as “A” during the year under review, while 
Sustainalytics assessed mBank’s risk profile as “low”. mBank is also listed"
34;Commerzbank_2022_EN-2;2;17;;;;;"in the WIG-ESG index of the Warsaw Stock Exchange. 
Commerz Real was awarded the Scope Special Innovation Award 
in 2022. 
 
 "
35;Commerzbank_2022_EN-2;3;0;;;;;" 
     
 44 Commerzbank Annual Report 2022  
Milestones in 2022 
 
 
 
2. Anchoring sustainability in our 
strategy 
 
The transformation into a sustainable economy affects our 
customers and ourselves in equal measure."
36;Commerzbank_2022_EN-2;3;1;;;;;"We want to play an active role in shaping this chan ge. Sustainability is therefore a 
cornerstone of our “Strategy 2024”, alongside customer focus, 
digitalisation and profitability.  The objectives for us are to achieve the United Nations 
Sustainable Development"
37;Commerzbank_2022_EN-2;3;2;;;;;"Goals (SDGs) and the Paris climate 
target of limiting global warming to well below 2°C. T o this end, we are constantly expanding our range of innovative, 
environmentally friend ly products and our sustainable solutions 
for customers. We are also"
38;Commerzbank_2022_EN-2;3;3;;;;;"steadily driving forward the sustainable transformation of our banking operations. Our sustainability 
strategy is grounded in our commitment to combating climate 
change, to which our net zero targets will make a significant contribution. In addition, we are increasingly addressing issues"
39;Commerzbank_2022_EN-2;3;4;;;;;"
that are moving into th e focus of the sustainability debate, such as 
biodiversity protection and a resource-conserving circular economy. We will have to find strategic solutions to these issues in 
conjunction with our customers. 
 
 
 
Our commitment"
40;Commerzbank_2022_EN-2;3;5;;;;;"to sustainable transformation is also made clear 
by our voluntary undertakings. For example, we were one of the 
first signatories of the Net-Zero Banking Alliance of the United 
Nations Environment Programme Finance Initiative (UNEP FI). In 
2022, we also joined"
41;Commerzbank_2022_EN-2;3;6;;;;;"the Biodiversi ty in Good Company initiative, 
underlining our determination to ma ke an active co ntribution to 
protecting biodiversity and species diversity. An overview of all 
memberships can be found online. 
 
 ESG framework discloses how we 
manage"
42;Commerzbank_2022_EN-2;3;7;;;;;"sustainability in our core businessJanuary 2022
March 2022
March 2022March 2022New directive on fossil fuels pushes
coal phase-out by 2030
Bilateral loan products “Green Loans"" 
are used to finance sustainability-related projects
Joining the ""Biodiversity in Good 
Company"" initiative lays the foundation 
for future steering of"
43;Commerzbank_2022_EN-2;3;8;;;;;"biodiversity
The ESG Committee on the Supervisory 
Board as a further development of the Social Committee starts work
External Sustainability Advisory 
Board ensures dialog with our stakeholders (first meeting)May 2022
Basic qualification ""Sustainability"" for 
employees strengthens a common 
understanding of sustainabilityJuly 2022
July 2022
July"
44;Commerzbank_2022_EN-2;3;9;;;;;"2022Individual loan ""Green CBU"" for the self-
employed and smaller companies 
finances commercial investments
Set SBTI targets for key sectors 
for managing financed emissionsSeptember 2022The second Sustainability Dialogue 
provides information on our progressJanuary 2022
Customer-
oriented
Sustainable ProfitableDigital"
45;Commerzbank_2022_EN-2;4;0;;;;;" 
         
 To our Shareholders  Corporate Responsibility  Management Report Risk Report Fina ncial Statements Further Information 45 
  25 Declaration on corporate governance  
pursuant to Art. 315d"
46;Commerzbank_2022_EN-2;4;1;;;;;"in conjunction with  
Art. 289f of the German Commercial Code (HGB) 
36 Details pursuant to Art. 315 of the German Commercial Code (HGB) 42 Non-financial report   
   
Governance structures expanded  
 
 
 
Among"
47;Commerzbank_2022_EN-2;4;2;;;;;"other matters, the Supervis ory Board advises and monitors 
the Board of Managing Directors with regard to sustainability 
issues. This includes, for example, checking this non-financial report. To reflect the growing importance of sustainability for the 
Bank, the Supervisory Board"
48;Commerzbank_2022_EN-2;4;3;;;;;"resolv ed to turn the Social Welfare 
Committee into the Environmenta l, Social and Governance 
Committee. It normally meets four times per year.  In particular, it 
assists the Supervisory Board, in addition to the Audit Committee, 
in assessing whether"
49;Commerzbank_2022_EN-2;4;4;;;;;"the management is ensuring the economically viable and sustainable performance of the Bank while 
also observing the principles of responsible corporate governance, 
fulfilling the Bank’s social responsibility and at the same time conserving natural environmental resources. The ESG Committee 
also"
50;Commerzbank_2022_EN-2;4;5;;;;;"advises the Board of Managi ng Directors on ESG issues.  
As part of the optimisation of the remuneration system for the 
Board of Managing Directors, the Supervisory Board has now also 
linked Commerzbank’s sustainability strategy to the variable 
remuneration"
51;Commerzbank_2022_EN-2;4;6;;;;;"of members of the Board of Managing Directors in a binding manner by adding an explicit ESG sub-target within the 
Group target, accounting for 20% of Group target achievement. 
The Group target itself accounts fo r the majority (60%) of"
52;Commerzbank_2022_EN-2;4;7;;;;;"variable 
remuneration for members of the Board of Managing Directors. 
This means that from the 2023 financial year, ESG targets will also 
be explicitly embedded in the variable remuneration system for all members of the Board of Managing Directors via"
53;Commerzbank_2022_EN-2;4;8;;;;;"the Group target. 
They complement any other ESG targets within the department 
and individual targets that may have already been in place in previous years. Alongside other ESG criteria, the Bank’s 
sustainability targets are also embedded in our employee 
remuneration"
54;Commerzbank_2022_EN-2;4;9;;;;;"system as target criteria. They account for 25% of the qualitative targets, which toge ther with target achievement in 
the quantitative element dete rmine the level of variable remuneration in the remuneration model for non-pay-scale 
employees. 
The Board of Managing"
55;Commerzbank_2022_EN-2;4;10;;;;;"Directors develops the Commerzbank 
Group’s strategy, discusses it with the Supervisory Board and 
ensures it is implemented. Sustainability issues are included in the 
annual strategy process for the overall bank strategy and are discussed as required in meetings of the"
56;Commerzbank_2022_EN-2;4;11;;;;;"Board of Managing 
Directors. Each member of the Board of Managing Directors is 
responsible for implementing sustainability measures within their own divisional remit. The central sustainability management 
function reports to the Chairman of the Board of Managing 
Directors and regularly"
57;Commerzbank_2022_EN-2;4;12;;;;;"informs him about progress on sustainability issues and activities. 
A cross-divisional decision-making and escalation body for 
sustainability, including matters relating to climate and other 
environmental risks, enables the sustainable orientation of the 
business model to be managed holistically. With this"
58;Commerzbank_2022_EN-2;4;13;;;;;"Group 
Sustainability Board, we have firmly embedded the wide-ranging issue of sustainability within th e Bank’s organisation. The Group 
Sustainability Board sets the Bank’s strategic sustainability targets 
and monitors the measures for their implementation and management. In addition, the divisions"
59;Commerzbank_2022_EN-2;4;14;;;;;"and segments report 
regularly on the progress of their sustainability activities and the 
implementation of regulatory su stainability requirements. The 
Group Sustainability Board is chaired by the Chairman of the Board 
of Managing Directors. The Board also includes other members"
60;Commerzbank_2022_EN-2;4;15;;;;;"of 
the Board of Managing Directors and heads of divisions. 
 
 
 
By making Group Sustainability Management the overarching 
sustainability area within the strategy unit, Commerzbank is underlining the strategic priority of this topic. It is responsible for 
the"
61;Commerzbank_2022_EN-2;4;16;;;;;"ongoing development of the sustainability strategy and 
comprehensive governance. At the same time, Group 
Sustainability Management manages the “Sustainability 360°” 
Group-wide programme and thereby coordinates the sustainability 
work of Commerzbank in an overarching way. It also ensures the implementation of"
62;Commerzbank_2022_EN-2;4;17;;;;;"strategic sustai nability initiatives such as the 
Principles for Responsible Banking of the United Nations 
Environment Programme Finance Initiative (UNEP FI).  
The three lines of defence concept for ESG risks was refined 
during 2022. ESG risks are consider ed"
63;Commerzbank_2022_EN-2;4;18;;;;;"a type of horizontal risk 
and as such are managed by various control units across the Bank. Group Sustainability Management also acts the second line of 
defence for social (S) and governance (G) risks, serving as a 
central point of"
64;Commerzbank_2022_EN-2;4;19;;;;;"oversight. Enviro nmental (E) risks are dealt with 
within the risk control function. A Chief Environmen tal Risk Officer Sustainability Advisory Board
Supvervisory Board
ESG Committee Board of Managing Directors
Group Sustainability Board (GSB)
Group Sustainability Management
Group-wide Programme 
Sustainability 360°Department activities
with ESG relevanceSteering CommitteeContent"
65;Commerzbank_2022_EN-2;4;20;;;;;"Targets/MonitoringMembers ReportingInformation exchange Impulses
The Group Sustainability Board
enables a holistic governance 
of the Bank’s sustainable orientation"
66;Commerzbank_2022_EN-2;5;0;;;;;" 
     
 46 Commerzbank Annual Report 2022  
(CERO) has also been appointed and tasked with bringing the 
Environmental Risk Control unit into operation. 
The relevance of sustainability is also reflected in Commerz 
Real’s organisational"
67;Commerzbank_2022_EN-2;5;1;;;;;"structure. Sustainability is anchored in the 
Real Estate Asset Management an d Sustainability division, which 
has additional access to further relevant resources from other divisions, such as Legal and Compliance. The divisional head 
r e p o r t s"
68;Commerzbank_2022_EN-2;5;2;;;;; d i r e c t l y  t o  t h e  C h a i r m a n  o f  t h e  B o a r d  o
69;Commerzbank_2022_EN-2;5;3;;;;;"f  M a n a g i n g  
Directors on sustainability issues. 
At mBank, the Sustainable Development Committee, chaired by 
the Chief Risk Officer, is responsible for managing sustainability. It 
coordinates sustainability activi ties and proposes them"
70;Commerzbank_2022_EN-2;5;4;;;;;"to the 
Board of Managing Directors. The committee also monitors the 
implementation of the ESG stra tegy and the progress of ESG 
initiatives, and approves related measures. The Board of Managing Directors also maintains regular dialogue with the Supervisory 
Board"
71;Commerzbank_2022_EN-2;5;5;;;;;"on sustainability issues, while the Risk Committee of the 
Supervisory Board addresses sustainability matters on a quarterly basis. In addition, the evaluation  of mBank’s top 100 managers is 
partly (10%) linked to ESG targets.  
External Advisory Board appointed"
72;Commerzbank_2022_EN-2;5;6;;;;;"
To ensure constructive critical dialogue with our stakeholders, in 
2022 we established an external Su stainability Advisory Board led 
by the Chairman of the Board of Managing Directors. This body is 
made up of six experts from the fields of"
73;Commerzbank_2022_EN-2;5;7;;;;;"politics, academia, 
society and SMEs. They represent a broad spectrum of subject matter, including topics such as the circular economy and 
biodiversity that are becoming increasingly important for us. The 
Sustainability Advisory Board provides impetus for the further development of"
74;Commerzbank_2022_EN-2;5;8;;;;;"our sustainability strategy. 
 
 
 
Keeping an eye on regulatory developments 
Increasing regulatory requirements  at national, international and 
EU level require constant monitoring. Group Sustainability 
Management keeps an eye on regulatory developments relating to sustainability issues and coordi"
75;Commerzbank_2022_EN-2;5;9;;;;;"nates implementation with the 
relevant units of the Bank. The aim is to further integrate 
sustainability and ESG risks into the Bank’s strategy, governance and risk management, and to create suitable conditions for 
mobilising capital.  The current focus of"
76;Commerzbank_2022_EN-2;5;10;;;;;"regulatory requirements is on considering 
how climate change will affect business operations and what risks 
may arise for the Bank from different climate pathways.  
Corporate responsibility also means seeking regular dialogue 
with external and internal stakeholders. Commerzbank maintains 
contact"
77;Commerzbank_2022_EN-2;5;11;;;;;"with numerous organisa tions and groups that have a 
relationship with the Bank. In addition to employees, these include 
above all customers, the capital market, suppliers and service 
providers, the media, non-governmental organisations, politicians, civil society and academics. We also"
78;Commerzbank_2022_EN-2;5;12;;;;;"engage in regular dialogue 
with national and international regulatory and supervisory 
authorities. 
Commerzbank pursues an active and transparent dialogue with 
a view to satisfying the expectations and needs of its stakeholders, 
taking account of them in its corp orate strategy"
79;Commerzbank_2022_EN-2;5;13;;;;;"and setting out its 
own perspective. For example, we regularly discuss the potential 
impact of our business activities on human beings and the 
environment with non-governmental organisations. The second public Sustainability Dialogue took place in July 2022. The Bank 
used"
80;Commerzbank_2022_EN-2;5;14;;;;;"this online event, which fe atured the Chairman of the Board 
o f  M a n a g i n g  D i r e c t o r s  a s  a  s p"
81;Commerzbank_2022_EN-2;5;15;;;;;e a k e r ,  t o  i n f o r m  i n t e r e s t e d  p a r t i e s  about its sustainability activities.
82;Commerzbank_2022_EN-2;5;16;;;;;" 
Key issues analysed 
At the beginning of 2022, we iden tified the sustainability issues 
most relevant to us via a new materiality analysis. This analysis 
shows us which topics we need to pursue strategically as a matter 
of priority."
83;Commerzbank_2022_EN-2;5;17;;;;;"A list of potential sustainability topics was analysed in collaboration with external part ners, applying two materiality 
perspectives. An exposure analys is was conducted to measure the 
“impact perspective”. This analysis  built on the Bank’s internal 
financial and risk"
84;Commerzbank_2022_EN-2;5;18;;;;;"data and proven sustainability indicators to 
determine “sustainability hotspots ”. These are in countries and 
sectors where Commerzbank is particularly active, both directly and indirectly, for example through financing, and where 
sustainability indicators in the defined areas are significantly 
below"
85;Commerzbank_2022_EN-2;5;19;;;;;"average. The “business perspective” – i.e. the question of how high the opportunities and risks of these sustainability issues 
are for business success – was established in a management 
workshop.  
Nine topics have consequently been identified as material. 
They"
86;Commerzbank_2022_EN-2;5;20;;;;;"relate to all three sustainabi lity dimensions – environmental, 
social and governance – and will form the future focus of our sustainability management activiti es. Climate change continues to 
have the highest relevance for the Bank.  
  The"
87;Commerzbank_2022_EN-2;5;21;;;;;"Sustainability Advisory Board
provides incentives for the further
development of our sustainability strategy"
88;Commerzbank_2022_EN-2;6;0;;;;;" 
         
 To our Shareholders  Corporate Responsibility  Management Report Risk Report Fina ncial Statements Further Information 47 
  25 Declaration on corporate governance  
pursuant to Art. 315d"
89;Commerzbank_2022_EN-2;6;1;;;;;"in conjunction with  
Art. 289f of the German Commercial Code (HGB) 
36 Details pursuant to Art. 315 of the German Commercial Code (HGB) 42 Non-financial report   
   
At the same time, topics such as biodiversity"
90;Commerzbank_2022_EN-2;6;2;;;;;"and circular 
solutions have become more important than in previous 
materiality analyses, so we are now addressing these more closely. To apply the materiality analysis in the Bank’s operations, the 
results were incorporated into the annual Bank-wide strategy 
process and"
91;Commerzbank_2022_EN-2;6;3;;;;;"discussed at the level of the Board of Managing Directors. Our reporting in this non-financial report is also geared 
to the new materiality analysis. 
Results matrix for the materiality analysis 
 
 
 
Pursuing net zero target  
Our net"
92;Commerzbank_2022_EN-2;6;4;;;;;"zero 
commitment is at the 
heart of the sustainability 
strategy adopted by 
the Board of Managing Directors. The strategy to achieve this vision rests on two pillars: we support our customers in their 
sustainable transformations and set a good example"
93;Commerzbank_2022_EN-2;6;5;;;;;"ourselves. We 
are pursuing this by means of three ambitious targets:  
 
 
• By 2050 we are aiming for net zero CO 2 emissions from our 
entire lending and investment portfolio. To measure progress 
reliably, we use CO"
94;Commerzbank_2022_EN-2;6;6;;;;;"2 reduction targets from the Science Based 
Targets initiative (SBTi). Using this method, we plan to manage our portfolios also in line with the Paris Climate Agreement 
from 2025 at the latest (see “R educing financed  emissions”). • By"
95;Commerzbank_2022_EN-2;6;7;;;;;"2025, we will mobilise €300bn for sustainable financial 
products. These products represent our sustainable business 
volume, with €100bn attributable to the Private and Small-Business Customers segment and €200bn to the Corporate 
Clients segment. They include lending products such as green"
96;Commerzbank_2022_EN-2;6;8;;;;;"
mortgage loans and financing for renewable energy, along with investment and capital market products such as sustainable 
s e c u r i t i e s  a n d  E S G - l i n k"
97;Commerzbank_2022_EN-2;6;9;;;;;"e d  l o a n s .  I n  t h e  E S G  f r a m e w o r k ,  w e  
disclose the criteria we use"
98;Commerzbank_2022_EN-2;6;10;;;;;"to classify financial products as sustainable and transparently describe the composition of the 
sustainable business volume. In view of the evolving EU 
Taxonomy Regulation and the new requirements under the 
Corporate Sustainability Reporting Directive (CSRD) that will 
apply from the"
99;Commerzbank_2022_EN-2;6;11;;;;;"reporting year 2024 onwards, we will realign the 
sustainable business volume target accordingly. We will also further expand the range of sustainable products offered in our 
business divisions (see “Taking climate into account in 
lending” and “Sustainable investments and capital"
100;Commerzbank_2022_EN-2;6;12;;;;;"products”). Key figure: By the en d of 2022, Commerzbank 
Aktiengesellschaft had mobili sed €246.5bn for sustainable 
financial products, out of a target of €300bn by the end of 2025. There was a strong increase in 2022 for ESG-/ 
Sustainability-linked"
101;Commerzbank_2022_EN-2;6;13;;;;;"loans and promissory note loans in 
particular to €107.9bn. This also includes syndicated loans amounting to €103.8bn (Loan commitments from 
Commerzbank around 7%). A detailed overview of all products 
contributing to this goal can be found on page 71 (table"
102;Commerzbank_2022_EN-2;6;14;;;;;"“Composition of the €300bn target”). 
 
 
 
• W e  p l a n  t o  r e d u c e  t h e  C O 2 emissions of our own banking 
operations"
103;Commerzbank_2022_EN-2;6;15;;;;;"to net zero as early as 2040. By 2025, greenhouse gas emissions at Commerzbank Aktiengesellschaft are to be 
reduced by a further 30% compared with 2018. We expect our 
suppliers to be climate-neutral by 2040. CO
2 emissions in 2022 
were"
104;Commerzbank_2022_EN-2;6;16;;;;;"78,402 tonnes (see “Reducing operational emissions”). 
 
Strategic KPI 1: Strategic KPI 2: Strategic KPI 3:
Net zero
portfolio by 2050 at the latestNet zero
emissions from its own banking 
operations by 2040€300bn for
sustainablefinancial products
by 2025
050100150200250300
2021 2022Volume of sustainable financial products
€bn
194.2246.5
"
105;Commerzbank_2022_EN-2;7;0;;;;;" 
     
 48 Commerzbank Annual Report 2022  
The status of target achievement is regularly ascertained and 
reported internally and externally. Publication of the status for 
target 1 – managing the portfolio based on CO"
106;Commerzbank_2022_EN-2;7;1;;;;;"2, working towards 
net zero – is planned from the next reporting year. The Group 
Sustainability Board, chaired by the Chairman of the Board of 
Managing Directors, reviews the progress towards these three strategic sustainability targets.  
Our sustainability strategy"
107;Commerzbank_2022_EN-2;7;2;;;;;"is implemented through the 
overarching strategic initiative Su stainability 360°. The customer 
segments, Risk Management and numerous other relevant Group 
divisions are involved in the Group-wide initiative, as is Commerz 
Real. The programme represents an overarching framework for all sustainability"
108;Commerzbank_2022_EN-2;7;3;;;;;"activities and ensures that cross-cutting issues are 
closely joined up, a coordinated approach is taken and tracking is 
strict. A steering committee cons isting of members of the top 
management of the relevant divisions monitors progress every two 
months. The"
109;Commerzbank_2022_EN-2;7;4;;;;;"status of the programme is regularly reported to the 
Board of Managing Directors. 
Organisational chart for the 360-degree strategic 
initiative 
 
 
 Commerz Real has been pursuing its Sustainable4Life 
sustainability strategy since 2020 and has embedded it within the"
110;Commerzbank_2022_EN-2;7;5;;;;;"
company’s business strategy, in the four impact areas of Portfolio & Investments, Directives & Processes, Team & Stakeholders and 
Innovation & Digitalisation. 
At mBank, too, the ESG agenda is a key component of the 
business strategy for 2021 to 2025."
111;Commerzbank_2022_EN-2;7;6;;;;;" It is guided by the United 
Nations Sustainable De velopment Goals that are relevant for it, 
and by the UNEP FI Principles for Responsible Banking. Its strategy covers matters such as responsibility for climate change, 
for the financial situation"
112;Commerzbank_2022_EN-2;7;7;;;;;"of its customers, for society, for investors 
and for alignment with ESG values.  
mBank also announced long-term targets for its carbon 
neutrality strategy in 2022. It is  committed to achieving carbon 
neutrality in its direct emissions (Scope 1)"
113;Commerzbank_2022_EN-2;7;8;;;;;"and those of the energy it purchases (Scope 2) by 2030. mBank plans to become 
completely carbon neutral – includ ing its loan portfolio – by 2050. 
To this end, it became the first Po lish bank to join the"
114;Commerzbank_2022_EN-2;7;9;;;;;"Partnership 
for Carbon Accounting Financia ls (PCAF) in April 2022. This 
alliance enables the carbon footprint of the loan portfolio to be 
determined in accordance with recognised standards. In October 2022, mBank joined the Science Base d Targets initiative (SBTi)"
115;Commerzbank_2022_EN-2;7;10;;;;;"to 
ensure that it implements its decarbonisation targets in line with 
the Paris Climate Agreement. As part of its strategy, mBank has also undertaken to introduce at least one new ESG-compliant 
product per year in both the retail and corporate"
116;Commerzbank_2022_EN-2;7;11;;;;;"customer 
segments. For example, in 2022 it began offering an “EcoLoan” to 
retail banking customers for financing environmentally friendly 
investments. This product is in line with the objectives of the EU 
Taxonomy Regulation. mBank has already granted more than 500"
117;Commerzbank_2022_EN-2;7;12;;;;;"of these loans for energy-efficient homes, with a total volume of 
almost €67m (about PLN 314m). 
3. Responsible management  
One of the three objectives agreed under the 2015 Paris 
Agreement was to bring global fi nancial flows into line"
118;Commerzbank_2022_EN-2;7;13;;;;;"with 
climate targets. Funding for new projects and technologies is intended to reduce greenhouse gas emissions and support climate 
change adaptation measures. The aim is a gradual decarbonisation 
of industry with the aid of financial instruments. This can be done,"
119;Commerzbank_2022_EN-2;7;14;;;;;"for example, by promoting renewable forms of energy (See 
“Supporting the customer transformation”) or forgoing certain 
transactions such as financing new coal mines or coal-fired power stations. We too want to preven t our business activities from 
having a negative"
120;Commerzbank_2022_EN-2;7;15;;;;;"impact on the environment and on society and 
to avoid or mitigate any risks that might result. 
 
 Board of Managing Directors
Group Sustainability Board
Group-wide Programme  Sustainability 360°Group Sustainability Management
Products, Services, Ecosystem 1
Guidelines & ESG Framework
Regulatory & Reporting
Risk Management
Environmental"
121;Commerzbank_2022_EN-2;7;16;;;;;"Management
Architecture & Data
Communication & Qualification2
3
4
5
6
7"
